Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,1344,0x000001DA65B14050,0,0,Hardware Composed: Independent Flip,0,4156.522865,25.216,52.593,0.214,38.451,65.238,1.525,133.365,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.252,0.332,0.252,119,157,157,NA,4280,10, 36,38.915, 65,27,0,0,20,17,0,0,14,40,0,39,0,0,0,0,0,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.549291,26.426,24.921,4.354,39.114,63.734,1.480,133.625,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.241,0.317,0.241,119,157,157,NA,4280,10, 36,38.915, 65,27,0,0,20,17,0,0,14,40,0,39,0,0,0,0,0,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.575455,26.164,25.037,0.179,43.081,62.607,1.647,133.781,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.243,0.320,0.243,119,157,157,NA,4280,10, 36,38.915, 65,27,0,0,20,17,0,0,14,40,0,39,0,0,0,0,0,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.602068,26.613,33.299,0.215,45.884,69.293,1.724,140.997,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.239,0.315,0.239,119,157,157,NA,4280,10, 36,38.915, 65,27,0,0,20,17,0,0,14,40,0,39,0,0,0,0,0,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.632317,30.249,25.020,0.198,43.889,64.064,1.451,138.667,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.210,0.277,0.210,119,157,157,NA,4280,10, 36,38.915, 65,27,0,0,20,17,0,0,14,40,0,39,0,0,0,0,0,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.661609,29.292,33.312,0.166,43.119,68.085,1.472,144.486,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.217,0.286,0.217,119,157,157,NA,4280,10, 36,38.915, 65,27,0,0,20,17,0,0,14,40,0,39,0,0,0,0,0,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.689667,28.058,25.024,0.149,45.279,65.051,1.614,139.997,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.227,0.299,0.227,119,157,157,NA,4280,10, 37,42.268, 65,27,0,0,20,17,0,0,14,40,0,39,0,0,0,0,0,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.718763,29.096,33.327,0.175,45.192,69.282,1.553,143.358,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.219,0.288,0.219,119,157,157,NA,4280,10, 37,42.268, 65,27,0,0,20,17,0,0,14,40,0,39,0,0,0,0,0,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.748403,29.641,25.033,0.155,44.031,64.674,1.485,140.257,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.215,0.283,0.215,119,157,157,NA,4280,10, 37,42.268, 65,27,0,0,20,17,0,0,14,40,0,39,0,0,0,0,0,13,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.778751,30.348,24.980,0.162,41.708,59.306,1.374,136.071,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.211,0.279,0.211,118,155,155,NA,4286,12, 37,42.268, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.807086,28.334,33.298,0.173,42.625,64.270,1.504,139.730,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.227,0.299,0.227,118,155,155,NA,4286,12, 37,42.268, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.834322,27.236,25.033,0.159,43.350,62.067,1.592,135.351,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.236,0.311,0.236,118,155,155,NA,4286,12, 37,42.268, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.862727,28.405,33.307,0.165,42.822,66.969,1.508,141.008,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.226,0.298,0.226,118,155,155,NA,4286,12, 37,42.268, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.891172,28.444,25.002,0.176,42.881,63.527,1.508,137.905,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.226,0.298,0.226,118,155,155,NA,4286,12, 36,40.583, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.919589,28.417,25.049,0.171,42.347,60.158,1.490,134.463,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.226,0.298,0.226,118,155,155,NA,4286,12, 36,40.583, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.947361,27.772,33.270,0.156,43.380,65.657,1.562,139.753,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.231,0.305,0.231,118,155,155,NA,4286,12, 36,40.583, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4156.976839,29.478,25.033,0.164,42.053,61.212,1.427,136.257,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.218,0.287,0.218,118,155,155,NA,4286,12, 36,40.583, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.005598,28.759,33.297,0.150,45.087,65.749,1.568,141.850,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.223,0.294,0.223,118,155,155,NA,4286,12, 36,40.583, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.032322,26.724,25.036,0.163,46.159,64.061,1.727,137.928,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.240,0.317,0.240,118,155,155,NA,4286,12, 36,40.583, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.063526,31.204,33.301,0.175,43.075,66.159,1.380,143.436,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.206,0.271,0.206,118,155,155,NA,4286,12, 36,40.583, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.092336,28.811,25.010,0.168,42.404,62.358,1.472,141.946,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.223,0.294,0.223,118,155,155,NA,4286,12, 36,39.107, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.120045,27.709,25.026,0.163,42.575,59.676,1.537,135.184,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.232,0.306,0.232,118,155,155,NA,4286,12, 36,39.107, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.147924,27.879,33.290,0.157,43.683,65.087,1.567,139.767,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.230,0.304,0.230,118,155,155,NA,4286,12, 36,39.107, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.177066,29.142,25.039,0.163,42.483,60.984,1.458,137.125,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.220,0.291,0.220,118,155,155,NA,4286,12, 36,39.107, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.204352,27.286,33.293,0.164,44.144,66.990,1.618,142.528,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.235,0.310,0.235,118,155,155,NA,4286,12, 36,39.107, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.233961,29.609,25.020,0.169,42.654,62.401,1.441,138.823,2760,9001,98,66,NA,NA,NA,NA,NA,NA,0.217,0.286,0.217,118,155,155,NA,4286,12, 36,39.107, 65,30,1,1,22,20,1,1,17,43,1,45,1,1,1,1,1,16,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.262051,28.090,25.029,0.182,42.129,59.341,1.500,135.940,2760,9001,98,64,NA,NA,NA,NA,NA,NA,0.228,0.301,0.228,118,155,155,NA,4271,11, 36,39.107, 65,29,0,0,22,18,0,0,14,46,0,47,0,0,0,0,0,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.289984,27.933,33.277,0.152,42.735,64.684,1.530,140.322,2760,9001,98,64,NA,NA,NA,NA,NA,NA,0.230,0.303,0.230,118,155,155,NA,4271,11, 36,39.107, 65,29,0,0,22,18,0,0,14,46,0,47,0,0,0,0,0,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.318457,28.472,25.065,0.161,42.276,61.277,1.485,136.980,2760,9001,98,64,NA,NA,NA,NA,NA,NA,0.225,0.297,0.225,118,155,155,NA,4271,11, 37,38.249, 65,29,0,0,22,18,0,0,14,46,0,47,0,0,0,0,0,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.346252,27.796,33.270,0.218,43.048,66.751,1.549,142.597,2760,9001,98,64,NA,NA,NA,NA,NA,NA,0.231,0.305,0.231,118,155,155,NA,4271,11, 37,38.249, 65,29,0,0,22,18,0,0,14,46,0,47,0,0,0,0,0,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.374276,28.024,25.026,0.162,43.337,63.754,1.546,138.798,2760,9001,98,64,NA,NA,NA,NA,NA,NA,0.229,0.302,0.229,118,155,155,NA,4271,11, 37,38.249, 65,29,0,0,22,18,0,0,14,46,0,47,0,0,0,0,0,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4157.403008,28.732,25.056,0.160,42.932,60.078,1.494,136.123,2760,9001,98,64,NA,NA,NA,NA,NA,NA,0.223,0.295,0.223,118,155,155,NA,4271,11, 37,38.249, 65,29,0,0,22,18,0,0,14,46,0,47,0,0,0,0,0,15,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
