Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,1701.969450,32.421,32.433,0.207,10.352,10.365,0.319,30.232,2550,9001,40,50,NA,NA,NA,NA,NA,NA,0.442,0.746,0.442,41,69,69,NA,4236,10, 32,25.732, 65,13,3,12,4,5,3,5,3,40,3,36,3,5,3,3,3,17,14,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,1702.002962,33.513,34.374,0.198,10.840,11.226,0.323,31.325,2550,9001,40,50,NA,NA,NA,NA,NA,NA,0.427,0.721,0.427,41,69,69,NA,4236,10, 32,25.732, 65,13,3,12,4,5,3,5,3,40,3,36,3,5,3,3,3,17,14,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.036394,33.431,62.043,0.208,11.250,39.838,0.337,60.120,2550,9001,40,50,NA,NA,NA,NA,NA,NA,0.428,0.723,0.428,41,69,69,NA,4236,10, 32,25.732, 65,13,3,12,4,5,3,5,3,40,3,36,3,5,3,3,3,17,14,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.070385,33.991,25.097,0.229,11.986,30.944,0.353,51.550,2550,9001,40,50,NA,NA,NA,NA,NA,NA,0.421,0.711,0.421,41,69,69,NA,4236,10, 32,25.732, 65,13,3,12,4,5,3,5,3,40,3,36,3,5,3,3,3,17,14,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.103590,33.205,33.322,0.152,11.511,31.061,0.347,51.631,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.432,0.731,0.432,41,69,69,NA,4161,5, 32,25.732, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.137244,33.654,33.352,0.225,11.069,30.759,0.329,51.635,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.426,0.721,0.426,41,69,69,NA,4161,5, 32,30.644, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.170516,33.272,33.333,0.140,10.945,30.820,0.329,51.632,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.431,0.729,0.431,41,69,69,NA,4161,5, 32,30.644, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.203870,33.355,33.351,0.128,11.001,30.817,0.330,51.653,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.430,0.727,0.430,41,69,69,NA,4161,5, 32,30.644, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.237122,33.251,33.248,0.141,10.961,30.814,0.330,51.540,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.432,0.730,0.432,41,69,69,NA,4161,5, 32,30.644, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.272359,35.237,33.319,0.139,10.404,28.896,0.295,48.477,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.407,0.688,0.407,41,69,69,NA,4161,5, 32,30.644, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.304116,31.758,33.328,0.139,10.870,30.466,0.342,48.502,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.452,0.764,0.452,41,69,69,NA,4161,5, 32,30.644, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.337610,33.494,33.362,0.135,10.838,30.334,0.324,48.175,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.428,0.724,0.428,41,69,69,NA,4161,5, 31,26.931, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.370880,33.271,33.314,0.151,10.767,30.377,0.324,48.107,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.431,0.729,0.431,41,69,69,NA,4161,5, 31,26.931, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.404207,33.326,33.375,0.136,10.903,30.426,0.327,48.702,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.431,0.728,0.431,41,69,69,NA,4161,5, 31,26.931, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.437542,33.335,33.336,0.144,10.686,30.427,0.321,48.717,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.430,0.728,0.430,41,69,69,NA,4161,5, 31,26.931, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.470931,33.389,33.261,0.136,10.938,30.299,0.328,48.636,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.430,0.727,0.430,41,69,69,NA,4161,5, 31,26.931, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.504220,33.289,33.373,0.144,10.745,30.384,0.323,48.698,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.431,0.729,0.431,41,69,69,NA,4161,5, 31,26.931, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.537847,33.627,33.320,0.143,10.727,30.076,0.319,48.318,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.427,0.721,0.427,41,69,69,NA,4161,5, 31,26.060, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.571152,33.305,33.313,0.145,10.712,30.084,0.322,48.315,2550,9001,38,49,NA,NA,NA,NA,NA,NA,0.431,0.728,0.431,41,69,69,NA,4161,5, 31,26.060, 65,13,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,13,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.604631,33.479,33.332,0.141,10.775,29.938,0.322,48.330,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.432,0.735,0.432,40,69,69,NA,4185,5, 31,26.060, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.638004,33.373,33.355,0.150,10.726,29.920,0.321,48.503,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.434,0.738,0.434,40,69,69,NA,4185,5, 31,26.060, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.671669,33.665,33.335,0.133,10.940,29.590,0.325,48.536,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.430,0.731,0.430,40,69,69,NA,4185,5, 31,26.060, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.705062,33.393,33.322,0.148,10.475,29.519,0.314,48.185,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.433,0.737,0.433,40,69,69,NA,4185,5, 31,26.060, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.739159,34.097,33.311,0.143,10.711,28.732,0.314,47.910,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.424,0.722,0.424,40,69,69,NA,4185,5, 31,26.629, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.771769,32.610,33.323,0.145,10.546,29.445,0.323,47.894,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.444,0.755,0.444,40,69,69,NA,4185,5, 31,26.629, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.805233,33.464,33.338,0.141,10.705,29.319,0.320,47.885,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.432,0.736,0.432,40,69,69,NA,4185,5, 31,26.629, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.838762,33.529,33.331,0.150,10.752,29.121,0.321,47.806,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.432,0.734,0.432,40,69,69,NA,4185,5, 31,26.629, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.871959,33.196,33.323,0.141,10.720,29.248,0.323,47.800,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.436,0.742,0.436,40,69,69,NA,4185,5, 31,26.629, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.905254,33.296,33.332,0.147,10.530,29.284,0.316,47.789,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.435,0.739,0.435,40,69,69,NA,4185,5, 31,26.629, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.938897,33.643,33.341,0.283,10.520,28.983,0.313,48.238,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.430,0.732,0.430,40,69,69,NA,4185,5, 36,27.567, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1702.972150,33.253,33.324,0.151,10.511,29.054,0.316,48.146,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.435,0.740,0.435,40,69,69,NA,4185,5, 36,27.567, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1703.005260,33.110,33.348,0.140,10.748,29.292,0.325,48.178,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.437,0.744,0.437,40,69,69,NA,4185,5, 36,27.567, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,1703.038836,33.576,33.314,0.154,10.505,29.030,0.313,48.154,2535,9001,39,48,NA,NA,NA,NA,NA,NA,0.431,0.733,0.431,40,69,69,NA,4185,5, 36,27.567, 65,15,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,13,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
